date,tweet,day,hour,nlikes,nreplies,nretweets
5/16/2020 1:45,the real reason why you be sad you be attach to people who have be distant with you you be pay attention to people who ignore you you make time for people who be too busy for you you be too care to people who be care less when it come to you let those people go,6,1,13731,219,5642
4/29/2020 6:42,my biggest problem be overthinking everything,3,6,12583,98,6951
4/29/2020 5:48,the worst sadness be the sadness you have teach yourself to hide,3,5,13350,51,7168
4/29/2020 5:47,i cannot make you understand i cannot make anyone understand what be happen inside me i cannot even explain it to myself,3,5,12926,56,8042
9/13/2019 0:52,i do not think anyone really understand how tire it be to act okay and always be the strong one when in reality you be close to the edge,5,0,21160,111,13344
9/8/2019 18:11,the worst feel be when something be kill you inside and you have to act like you do not care,7,18,16584,67,9755
9/8/2019 17:36,when i be hurt i shut down i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,7,17,13251,59,7247
9/2/2019 17:33,overthinking ruin you ruin the situation twist things around make you worry and just make everything much worse than it actually be,1,17,9716,23,5473
9/2/2019 6:30,i be disappoint in myself because i know i be better than the choices i keep make and the things i choose to deal with,1,6,9646,29,5633
9/19/2018 23:44,i be just so tire of this my body be tire my mind be a mess i just really want to lay in bed and never get up i be just so tire of life,3,23,22225,122,16463
9/19/2018 14:32,be you okay me no but it be okay,3,14,16100,58,10743
7/1/2018 16:35,i be sick of make things worse i be sick of be hurt i be sick of cry myself to sleep i be sick of hat everything i be sick of fake a smile i be sick of feel this way i be sick of let people down i be sick of be me,7,16,19011,92,12111
7/1/2018 15:49,live with depression and anxiety no motivation to leave your bed dread leave your house not be able to go out unable to make new friends be paranoid or restless mentally hurt zone out a lot ignore people not be yourself,7,15,16010,84,7874
5/3/2018 5:14,sorry for be so fuck up sorry for be such a failure sorry for be a disgrace sorry for be me,4,5,18233,72,12996
5/3/2018 3:13,do you ever write a really long message and about halfway through you be like you know what they do not even care and end up delete it,4,3,16485,127,7854
4/18/2018 0:06,i be tire go to sleep then no you do not understand,3,0,14985,50,8866
4/17/2018 22:30,you hide when you cry because you want to be see as a strong person at the same time though you hate how nobody notice how break you be,2,22,18424,70,10533
3/18/2018 6:13,please do not expect me to always be good and kind and love there be time when i will be cold and thoughtless and really hard to understand,7,6,12227,26,7979
3/16/2018 1:18,i do not think people really understand just how stressful it be to explain what be on your mind when you do not even understand it yourself,5,1,15490,32,10409
3/12/2018 5:33,i be scar to get close to people because i think they will eventually walk out of my life no matter how close we be because everyone leave,1,5,13109,46,7448
3/12/2018 3:52,i think i be afraid to be happy because whenever i get too happy something bad always happen,1,3,13380,61,8016
7/27/2017 2:53,i hate get so sad to the point where my body completely shut down and all i can do be just lay there and think about all my problems,4,2,20587,61,13796
7/5/2017 21:35,i already know i be not good enough,3,21,17100,49,12751
7/5/2017 21:04,sleep be so hard when you cannot stop think,3,21,15475,37,10848
7/3/2017 16:51,i be not the same anymore i will admit it a lot of shit get to me,1,16,15113,26,10613
7/2/2017 7:48,social anxiety suck you unintentionally make yourself sad you feel alone even when you be not and sometimes you do not even know what be wrong,7,7,12055,24,7147
7/2/2017 6:07,i say sorry a lot because i secretly feel that everything be my fault,7,6,13742,44,8694
2/20/2017 2:51,it suck do not it feel like you be not good enough no matter how hard you try,1,2,32345,202,24881
2/18/2017 20:17,depression be not always sadness it can also be emptiness anger tiredness or loneliness sometimes a cry for help be not so visible,6,20,17864,44,11282
2/18/2017 19:15,do you ever feel physically sick because you know you be not good enough for anyone and cannot do anything right no matter how hard you try,6,19,13066,51,8074
2/18/2017 17:40,i wish someone be afraid to lose me i be always scar of lose people that i love but i doubt anyone would fight to keep me in their life,6,17,14955,74,9061
2/14/2017 3:02,i be just so tire of this my body be tire my mind be a mess i just really want to lay in bed and never get up i be just so tire of life,2,3,13520,37,10218
1/23/2017 3:04,sometimes i be disappoint in myself because i know i be better than the choices i make and the things i choose to deal with,1,3,8282,12,5719
1/22/2017 21:59,you can only be so strong for so long until you reach a point where you break physically mentally emotional,7,21,11486,17,7855
1/16/2017 15:45,my biggest mistake ever be think that people care for me as much as i do for them but in reality it be almost always one side,1,15,9684,29,6556
1/8/2017 5:06,i do not tweet for sympathy or attention i express my thoughts and feel this be my outlet where i can say stuff without feel judge,7,5,8494,24,7679
1/8/2017 4:31,when i die do not go to my grave and sit there tell me how much you love and miss me those be the things i need to hear when i be alive,7,4,11387,38,7372
1/2/2017 6:27,i truly feel like everything i say or do be always wrong like i be a total disappointment to everyone and all i ever do be let people down,1,6,9584,29,6868
